participant_id,participant_number,session_id,protocol_version,latin_square_row,source_list_id,presented_run_number,canonical_list_seed,run_id,trial_index_global,trial_index_run,visibility,audio_condition,condition_code,image_object,image_label,exemplar_id,image_path,occlusion_level,occlusion_pattern_id,audio_object,audio_label,audio_path,is_congruent,correct_response,accepted_responses,fixation_ms_planned,image_duration_ms_planned,silent_delay_ms_planned,response_window_ms,iti_ms,is_practice,random_seed
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,1,occluded,incongruent,23,fork,fork,fork_ex03,stimuli_final_candidates/occluded_70/fork/fork_ex03_occ70.png,70,occ_01,knife,knife,assets/audio/spoken/knife.wav,0,fork,fork,800,1000,600,2000,1128,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,2,occluded,congruent,22,bowl,bowl,bowl_ex02,stimuli_final_candidates/occluded_70/bowl/bowl_ex02_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,1,bowl,bowl,800,1000,600,2000,1133,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,3,occluded,congruent,22,spoon,spoon,spoon_ex03,stimuli_final_candidates/occluded_70/spoon/spoon_ex03_occ70.png,70,occ_01,spoon,spoon,assets/audio/spoken/spoon.wav,1,spoon,spoon,800,1000,600,2000,909,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,4,occluded,congruent,22,bowl,bowl,bowl_ex01,stimuli_final_candidates/occluded_70/bowl/bowl_ex01_occ70.png,70,occ_01,bowl,bowl,assets/audio/spoken/bowl.wav,1,bowl,bowl,800,1000,600,2000,1072,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,5,occluded,none,21,knife,knife,knife_ex03,stimuli_final_candidates/occluded_70/knife/knife_ex03_occ70.png,70,occ_01,,,,,knife,knife,800,1000,600,2000,1199,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,6,visible,congruent,12,knife,knife,knife_ex01,stimuli_final_candidates/clear/knife/knife_ex01_clear.png,,,knife,knife,assets/audio/spoken/knife.wav,1,knife,knife,800,1000,600,2000,964,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,7,occluded,none,21,bowl,bowl,bowl_ex01,stimuli_final_candidates/occluded_70/bowl/bowl_ex01_occ70.png,70,occ_01,,,,,bowl,bowl,800,1000,600,2000,1183,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,8,occluded,incongruent,23,spoon,spoon,spoon_ex04,stimuli_final_candidates/occluded_70/spoon/spoon_ex04_occ70.png,70,occ_01,fork,fork,assets/audio/spoken/fork.wav,0,spoon,spoon,800,1000,600,2000,801,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,9,visible,incongruent,13,bowl,bowl,bowl_ex04,stimuli_final_candidates/clear/bowl/bowl_ex04_clear.png,,,spoon,spoon,assets/audio/spoken/spoon.wav,0,bowl,bowl,800,1000,600,2000,1085,0,27062026
,,,v3_formal_six_objects_70occ,,E,,27062026,E,,10,visible,none,11,spoon,spoon,spoon_ex02,stimuli_final_candidates/clear/spoon/spoon_ex02_clear.png,,,,,,,spoon,spoon,800,1000,600,2000,1173,0,27062026
